training/actor/actor_loss,training/actor/bc_flow_loss,training/actor/distill_loss,training/actor/mse,training/actor/q,training/actor/q_loss,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_flow_loss,validation/actor/distill_loss,validation/actor/mse,validation/actor/q,validation/actor/q_loss,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,time/epoch_time,time/total_time,exploration/prev_button_states,exploration/button_states,exploration/prev_qpos,exploration/prev_qvel,exploration/qpos,exploration/qvel,exploration/control,exploration/time,exploration/success,exploration/total.timesteps,exploration/episode.final_reward,exploration/episode.return,exploration/episode.length,exploration/episode.duration,step
76.8985,0.05609892,0.020551145,0.022715138,-76.63689,76.63689,0.086429596,-43.47832,-77.042564,-113.19342,0.588873,-0.4395714,8.417213,388695.22,388596.56,1.3161135,0.36238024,-85.49131,85.49131,155.92047,-60.46128,-85.36056,-104.45683,0.006267656679153443,4394.970269918442,0.5,0.5,-0.22214784990897163,-0.0010566488723047468,-0.22211681169495442,-0.00012950664599283192,-1.097266108154624,37.59999999999999,0.0,649500.0,-1.0,-781.0,750.0,6.261064291000366,650000
75.185936,0.055094756,0.018006751,0.019925361,-74.950775,74.950775,0.08103497,-57.79602,-75.28706,-107.78269,0.3157663,-0.3692086,9.090747,359643.56,359546.06,1.1113871,0.3397137,-86.38539,86.38539,110.10733,-69.855545,-86.43259,-109.8918,0.007102388410568238,4572.529990911484,0.5,0.5,-0.2752888811088576,-6.515366603086034e-05,-0.2752938987376771,5.7715019808150575e-05,34.859654947514905,37.59999999999999,0.0,675000.0,-1.0,-761.0,750.0,4.052314281463623,675000
79.213554,0.06542839,0.015924808,0.01657631,-78.98888,78.98888,0.046815854,-56.876038,-79.29506,-101.64802,0.16206454,-0.124469206,6.067153,450994.47,450892.8,1.0472683,0.33618137,-91.185265,91.185265,67.1189,-67.80208,-91.26297,-108.28681,0.005837500324249268,4718.467508792877,0.5,0.5,-0.12338066118769148,-0.0017745275837500417,-0.12340108285412833,0.0002575106287086163,35.5874601138904,37.59999999999999,0.0,699750.0,-1.0,-758.0,750.0,4.751978874206543,700000
81.095665,0.07208487,0.01689952,0.01828717,-80.85458,80.85458,0.28470868,-49.86624,-81.19591,-119.05451,0.766138,-0.60827154,14.859515,825962.6,825860.56,1.1271374,0.3043879,-90.82715,90.82715,87.130936,-68.60128,-90.76507,-109.8172,0.007012803401947021,4893.787604808807,0.5,0.5,-0.20173215428084185,0.00012410599606657723,-0.20178967445196652,-0.0010410903003259257,18.557809949598926,37.59999999999999,0.0,724500.0,-1.0,-782.0,750.0,4.144131898880005,725000
79.442,0.075374655,0.016989216,0.017581312,-79.19673,79.19673,0.100786455,-52.18612,-79.53619,-103.17932,0.23524235,-0.26844338,8.106493,1073236.9,1073135.9,1.0508108,0.35522735,-90.44809,90.44809,37.402138,-73.41908,-90.45871,-113.510506,0.0062649720287323,5050.411916017532,0.5,0.5,-0.16778668836992328,0.0059986910302161885,-0.1674709549048198,0.0050503175947120395,35.309623795787815,37.59999999999999,0.0,750000.0,-1.0,-756.0,750.0,3.766382932662964,750000
81.02884,0.037577756,0.014386578,0.0152129,-80.8474,80.8474,0.0717309,-63.030273,-81.1199,-133.8059,0.2008877,-0.20073634,6.5311804,1169800.4,1169697.9,1.1481184,0.324378,-90.96295,90.96295,96.27197,-72.61783,-90.988434,-117.79851,0.007150353584289551,5229.170769453049,0.5,0.5,-0.2801977268802501,0.00624774427302166,-0.27990230373905717,0.0034999325769541657,35.08374646977579,37.59999999999999,0.0,774750.0,-1.0,-761.0,750.0,5.725820064544678,775000
81.41574,0.0730571,0.015936706,0.01717385,-81.18332,81.18332,0.06347336,-58.234577,-81.47444,-149.6576,0.13471095,-0.12614536,6.193472,1669233.1,1669134.1,1.0313431,0.28571597,-88.58674,88.58674,98.58213,-68.13877,-88.61147,-110.50545,0.006014231996536255,5379.526583433151,0.5,0.5,-0.08447573760091609,0.023117106442203866,-0.08353066810960556,0.020100443601028365,35.698284570657464,37.59999999999999,0.0,799500.0,-1.0,-759.0,750.0,4.039152383804321,800000
81.92789,0.043733597,0.015785007,0.017336158,-81.7263,81.7263,0.0449748,-63.37516,-82.018616,-120.30259,0.10093,-0.076287925,3.7442398,1550332.0,1550233.4,1.1269239,0.31663963,-87.333435,87.333435,151.35056,-71.805046,-87.29695,-116.87422,0.007257249450683594,5560.957834243774,0.5,0.5,-0.043315607586524765,0.0010554347514743622,-0.04327089399608134,0.0008423751702357696,36.092122471435694,37.59999999999999,0.0,825000.0,-1.0,-824.0,750.0,5.716343402862549,825000
83.18559,0.05569297,0.015440876,0.015737003,-82.975494,82.975494,0.071265295,-64.60474,-83.25766,-174.8096,0.13793749,-0.1268208,6.282964,1406599.2,1406496.9,1.4174236,0.29669386,-88.30751,88.30751,86.21924,-75.4038,-88.28688,-122.27544,0.005893138341903687,5708.286304235458,0.5,0.5,-0.08809650143004526,-0.0006647028705542372,-0.08823554177799636,-0.0025876434660866564,35.82570288997512,37.59999999999999,0.0,849750.0,-1.0,-793.0,750.0,4.4684669971466064,850000
81.96528,0.069588475,0.013896875,0.014614073,-81.75672,81.75672,0.040023446,-67.41267,-82.01491,-114.38013,0.19635773,-0.1456241,5.6097913,2929473.5,2929373.8,1.1061581,0.32641146,-88.83235,88.83235,64.11838,-74.26175,-88.80975,-115.331406,0.007055802450180054,5884.681379079819,0.5,0.5,-0.10991485322102504,-0.0021905079489122413,-0.11005946950607381,-0.0021803306327488003,-0.4531478776765726,37.59999999999999,0.0,874500.0,-1.0,-760.0,750.0,4.365445852279663,875000
83.42489,0.07103672,0.01653986,0.017558312,-83.18845,83.18845,0.07931763,-64.87752,-83.50435,-112.197105,0.22958839,-0.31027973,8.047961,2800590.0,2800480.8,1.9278927,0.3558009,-90.09498,90.09498,38.26822,-76.11178,-90.0918,-111.392,0.0057867209911346435,6029.349414587021,0.5,0.5,-0.17130828390049543,-0.0031378871749083103,-0.17146026034976805,-0.0027931384948337314,35.07549291781141,37.59999999999999,0.0,900000.0,-1.0,-763.0,750.0,4.389079570770264,900000
82.35077,0.058430325,0.017081304,0.01772078,-82.12153,82.12153,0.05631822,-67.645996,-82.426605,-131.8055,0.23987068,-0.18145233,6.6504307,3238840.5,3238734.8,1.8494157,0.3216221,-87.32234,87.32234,68.86323,-73.96692,-87.30104,-112.20143,0.007385779056549072,6213.993901729584,0.5,0.5,-0.10901402406352977,0.003269629322434848,-0.10873837023673538,0.004987224989009669,35.8911583913557,37.59999999999999,0.0,924750.0,-1.0,-760.0,750.0,5.799154043197632,925000
81.69189,0.054775905,0.01536783,0.016777292,-81.48343,81.48343,0.079056464,-69.06173,-81.786995,-136.91632,0.17413044,-0.12840378,5.560031,3303657.5,3303556.5,1.310022,0.36460748,-88.10198,88.10198,41.508293,-73.3882,-88.03222,-116.74409,0.00618367208480835,6368.5857145786285,0.5,0.5,-0.43905360195014187,-0.00014154163057762835,-0.4390580583363705,0.000213030961647734,-1.6275211947795363,37.59999999999999,0.0,949500.0,-1.0,-760.0,750.0,4.640088319778442,950000
81.5521,0.05155463,0.01510734,0.017414782,-81.34947,81.34947,0.04169949,-61.931995,-81.65222,-115.45846,0.10706607,-0.0880317,5.015416,3560243.8,3560137.2,1.7946018,0.36483344,-88.57449,88.57449,37.958275,-75.96358,-88.45958,-114.34682,0.007675356378555298,6560.469635248184,0.5,0.5,-0.3610773305616142,7.722468537961793e-05,-0.3610667800005274,0.00022888815426096265,34.784630024445924,37.59999999999999,0.0,975000.0,-1.0,-762.0,750.0,4.4364964962005615,975000
85.11998,0.05870626,0.013299341,0.0139401825,-84.92828,84.92828,0.030812167,-70.37891,-85.16173,-110.78491,0.15040573,-0.14484926,4.7962847,3233160.5,3233056.8,1.2781085,0.34639737,-90.939926,90.939926,39.038277,-77.991974,-90.83739,-117.8607,0.006296916055679321,6717.892547130585,0.5,0.5,-0.3087398206266137,-0.0002530768193983063,-0.30874478832489494,-6.801239290444975e-05,-1.193368270154468,37.59999999999999,0.0,999750.0,-1.0,-765.0,750.0,4.399048566818237,1000000
