training/actor/actor_loss,training/actor/bc_flow_loss,training/actor/distill_loss,training/actor/mse,training/actor/q,training/actor/q_loss,training/critic/critic_loss,training/critic/q_max,training/critic/q_mean,training/critic/q_min,training/grad/max,training/grad/min,training/grad/norm,validation/actor/actor_loss,validation/actor/bc_flow_loss,validation/actor/distill_loss,validation/actor/mse,validation/actor/q,validation/actor/q_loss,validation/critic/critic_loss,validation/critic/q_max,validation/critic/q_mean,validation/critic/q_min,time/epoch_time,time/total_time,exploration/prev_qpos,exploration/prev_qvel,exploration/qpos,exploration/qvel,exploration/control,exploration/time,exploration/success,exploration/total.timesteps,exploration/episode.final_reward,exploration/episode.return,exploration/episode.length,exploration/episode.duration,step
257.9063,0.07140842,0.037285533,0.03647981,-257.46204,257.46204,0.6352264,-161.75575,-258.23596,-323.06845,4.7563777,-4.4370112,60.233837,341.41913,47.955517,0.13921562,0.12860258,-292.07147,292.07147,25.066212,-218.17447,-292.24298,-328.06705,0.0052041231346130375,2603.097515106201,-0.037703216689766,-0.005831071248833217,-0.037997365604624966,-0.005637463583941366,-0.36355946376645437,25.099999999996967,0.0,525000.0,-2.0,-1000.0,500.0,2.1149680614471436,525000
258.47122,0.04921707,0.034032602,0.035519894,-258.08167,258.08167,0.34331748,-210.71147,-258.7602,-321.56085,0.7655089,-0.83395076,24.896616,304.15897,9.635673,0.16445728,0.12826398,-292.87872,292.87872,32.39601,-208.9554,-293.06268,-328.9469,0.004927148427963257,2726.276234149933,-0.22909788995798255,-0.04865636942416963,-0.23126164039891686,-0.03835739525850684,-1.3705130195067707,25.099999999996967,0.0,550000.0,-2.0,-1000.0,500.0,2.115929126739502,550000
264.4394,0.06879186,0.032825347,0.033286314,-264.04236,264.04236,0.25502867,-178.19525,-264.66925,-346.02286,0.6023671,-0.59728605,16.554348,447.8875,147.98438,0.17844951,0.11657285,-298.11862,298.11862,35.67565,-217.70593,-298.50604,-337.24994,0.005467127056121826,2862.954420566559,-0.13562400697950605,-0.043260126893887266,-0.13712091817159197,-0.03580716916262237,-0.8821851912719267,25.099999999996967,0.0,575000.0,-2.0,-1000.0,500.0,2.5618386268615723,575000
265.83862,0.04963052,0.035313264,0.036639538,-265.43585,265.43585,0.5847912,-217.56918,-266.12607,-341.17996,1.2100255,-1.0931178,28.32693,364.35925,65.978966,0.15089445,0.11844752,-296.87134,296.87134,29.118658,-232.96532,-297.14896,-337.07346,0.004889726972579956,2985.197604417801,0.005016778740150522,-0.0387486964518315,0.0031757558134651487,-0.0359688382797291,36.163204767775454,25.099999999996967,0.0,600000.0,-2.0,-1000.0,500.0,2.947218179702759,600000
264.73297,0.0638233,0.036135785,0.038411606,-264.3078,264.3078,0.38861838,-204.81294,-265.03305,-348.197,0.7067951,-0.69127834,26.22851,335.00995,35.131207,0.18316077,0.1179327,-298.04715,298.04715,35.809902,-217.83977,-298.28568,-335.294,0.0052582125091552735,3116.6529264450073,-0.3037362337452873,-0.013943859865520138,-0.3047654772001617,-0.016308561842429667,-1.3824699675367766,25.099999999996967,0.0,625000.0,-2.0,-1000.0,500.0,2.102979898452759,625000
269.13782,0.051065374,0.033326298,0.034124494,-268.75348,268.75348,0.23614654,-226.74838,-269.39493,-339.0884,0.46379432,-0.4443232,16.67215,486.63873,183.06938,0.17654377,0.1043184,-301.8039,301.8039,25.22594,-242.75578,-302.02893,-350.40576,0.0048155601978302,3237.0419402122498,-0.3537031081546849,0.001447895918308539,-0.3536267229085816,0.0014966577341147455,-1.5107979509906801,25.099999999996967,0.0,650000.0,-2.0,-1000.0,500.0,2.079214096069336,650000
276.39432,0.07306453,0.029452736,0.03124471,-276.02673,276.02673,0.289132,-227.81282,-276.621,-335.9116,0.7129303,-0.7469383,20.543474,356.4488,47.43918,0.15643567,0.11282661,-307.44525,307.44525,30.090065,-226.30704,-307.58844,-351.85968,0.005415206022262573,3372.4220995903015,-0.2656977354076854,0.0030314639119701408,-0.26544242555254116,0.0047774232483700114,-1.3256623896375355,25.099999999996967,0.0,675000.0,-2.0,-1000.0,500.0,3.020735263824463,675000
274.8822,0.063838616,0.030998154,0.032617804,-274.5084,274.5084,0.44369546,-203.9529,-275.11484,-342.9339,1.3235844,-1.3193501,29.958874,371.66217,58.841675,0.2244476,0.11894379,-310.57602,310.57602,48.168804,-193.7135,-310.80807,-348.4685,0.004666616888046264,3489.087530851364,-0.12017413166844457,-0.0011095867187488472,-0.120200124868214,-0.00048456480458544535,-0.637152510209253,25.099999999996967,0.0,700000.0,-2.0,-1000.0,500.0,2.025442600250244,700000
271.14294,0.059021737,0.033266522,0.035102572,-270.75125,270.75125,0.25965947,-197.27628,-271.47186,-353.39807,0.7639234,-0.8177066,24.438969,452.56085,139.00226,0.18323736,0.12722743,-311.72623,311.72623,45.98931,-214.25398,-311.9141,-349.49808,0.005015676069259643,3614.4794414043427,0.02827476339959184,0.007764904315752922,0.02865595957810075,0.007428315689459645,35.91136156128986,25.099999999996967,0.0,725000.0,-2.0,-1000.0,500.0,2.386892318725586,725000
271.21347,0.049457576,0.030644996,0.031899158,-270.85757,270.85757,0.27296638,-165.46245,-271.46075,-350.5203,0.66891354,-0.5406145,17.132153,343.33527,31.47443,0.17892693,0.11273916,-310.07156,310.07156,36.02027,-225.14221,-310.39407,-362.35486,0.004443990144729615,3725.579202890396,-0.014500472310611027,0.002404290138023067,-0.014417446430165796,0.0015787963723576668,-0.5660445182506066,25.099999999996967,0.0,750000.0,-2.0,-1000.0,500.0,2.1124579906463623,750000
277.9804,0.071055524,0.028495982,0.030255144,-277.6244,277.6244,0.2806602,-218.23077,-278.20245,-343.1308,0.7990595,-0.46425515,29.506569,666.25885,347.52158,0.37232408,0.12693408,-315.01404,315.01404,32.48432,-240.9336,-315.29547,-371.31232,0.005063606386184693,3852.1693744659424,-0.11653173104323673,-0.001143545533295575,-0.11656810886710003,-0.00047437365137747924,35.551809150919674,25.099999999996967,0.0,775000.0,-2.0,-1000.0,500.0,3.086944818496704,775000
280.10992,0.07400515,0.029862627,0.030367294,-279.7373,279.7373,0.4515947,-234.26138,-280.32928,-346.61728,1.6328721,-1.7325153,27.279488,516.65375,192.16283,0.25936338,0.111916415,-321.8973,321.8973,39.505196,-254.12001,-322.07336,-381.53293,0.004475405168533325,3964.05451464653,-0.25389349115986287,-0.0027045009970624386,-0.25401681235401746,-0.002352514543293433,-1.3188994302956836,25.099999999996967,0.0,800000.0,-2.0,-1000.0,500.0,2.7884347438812256,800000
287.83008,0.07971728,0.025144158,0.027579634,-287.49893,287.49893,0.1879463,-235.35216,-288.0041,-345.27393,0.80711573,-0.82688814,17.15569,596.9456,269.8613,0.37493595,0.12437856,-323.33496,323.33496,27.197144,-253.2034,-323.44034,-361.39767,0.005230031213760376,4094.805303812027,-0.10708263063434297,-0.030890551508837627,-0.10846255642057313,-0.02741624400141864,-0.6232460863603121,25.099999999996967,0.0,825000.0,-2.0,-1000.0,500.0,2.066206216812134,825000
289.2343,0.10625291,0.028333396,0.029901857,-288.84473,288.84473,0.19032635,-256.10724,-289.41812,-357.03293,0.6732718,-0.6206385,17.22448,662.6702,333.55722,0.24331307,0.1108696,-326.67987,326.67987,36.71454,-261.45764,-326.79608,-366.56876,0.004706911640167236,4212.47810459137,-0.11587275119197962,-0.009341640184119432,-0.116263784219817,0.0005094629047897648,-0.7568628505455178,25.099999999996967,0.0,850000.0,-2.0,-1000.0,500.0,2.1769814491271973,850000
295.00467,0.06878577,0.023745164,0.02515479,-294.69843,294.69843,0.20639105,-244.728,-295.14703,-355.80627,0.84020954,-0.87329984,20.276543,4509.391,4174.9907,0.7244997,0.1312819,-327.15546,327.15546,27.603941,-261.64313,-327.24664,-377.31476,0.00502592791557312,4338.1263110637665,-0.1436273091901776,-0.0030912878319027627,-0.14372527614505173,-0.0018358877050904975,-0.6947011885826424,25.099999999996967,0.0,875000.0,-2.0,-1000.0,500.0,2.0419299602508545,875000
295.40945,0.044389796,0.0279105,0.029272402,-295.08597,295.08597,0.22462092,-236.01956,-295.62415,-352.72885,0.5902456,-0.5252866,17.537868,5713.5073,5362.9507,2.2927263,0.1217763,-327.62927,327.62927,31.627363,-254.531,-327.77295,-378.2378,0.0045694179534912106,4452.361770629883,-0.05842584209142213,0.03453712425962384,-0.056854244202157664,0.03344950718312279,-0.5154026155029885,25.099999999996967,0.0,900000.0,-2.0,-1000.0,500.0,2.939218759536743,900000
295.3212,0.05580188,0.022916522,0.024619259,-295.03622,295.03622,0.2305596,-239.57433,-295.48587,-376.56357,0.4804366,-0.45690686,14.813953,2522.047,2192.092,0.25154635,0.11524735,-327.43964,327.43964,31.443712,-253.3083,-327.67224,-371.96387,0.004953549270629883,4576.200514316559,0.07720021068975844,0.025991041488106534,0.07879891039371464,0.023542403427211703,-0.014537523796083005,25.099999999996967,0.0,925000.0,-2.0,-1000.0,500.0,2.1373298168182373,925000
298.04727,0.10968547,0.027638758,0.02797365,-297.6612,297.6612,0.2685127,-239.86804,-298.1839,-358.58835,0.839586,-1.0099382,18.501957,4082.0789,3731.3171,2.1655881,0.13851295,-329.1059,329.1059,30.174635,-245.56458,-329.30328,-360.24634,0.004488493890762329,4688.412870168686,0.04359601514012936,0.005989254367465922,0.04393253863311393,0.006421193317396176,36.22115469378016,25.099999999996967,0.0,950000.0,-2.0,-1000.0,500.0,2.103743314743042,950000
296.36398,0.10262548,0.026829708,0.027713237,-295.99307,295.99307,0.32393074,-258.33353,-296.5066,-351.4156,0.8127302,-0.93881905,22.264183,726.3718,392.5803,0.50064474,0.13254331,-328.7851,328.7851,27.897161,-241.65099,-328.92166,-364.1719,0.0049498557472229,4812.159272193909,-0.21509599031221266,-0.001152250200343303,-0.21516880651830264,-0.0012861647099452873,-0.7283834251529445,25.099999999996967,0.0,975000.0,-2.0,-1000.0,500.0,2.1352508068084717,975000
295.21994,0.074250914,0.027092565,0.029274547,-294.87476,294.87476,0.30891874,-258.64954,-295.40814,-351.4908,0.4092495,-0.44356787,19.722075,2071.7305,1727.3041,1.5136517,0.1615641,-329.28998,329.28998,35.142036,-295.2799,-329.4453,-376.63092,0.004765998945236206,4931.309254646301,0.006464292628762767,0.02708473071094294,0.007837314142632031,0.025661229549899207,-0.45048882630288273,25.099999999996967,0.0,1000000.0,-2.0,-1000.0,500.0,2.3217592239379883,1000000
